GRILLE TARIFAIRE - ENERGIA-CONSEIL IA®
Prestation;Prix HT;Prix TTC (20%)
Audit énergétique réglementaire;800;960
Bureau d'études thermique;1500;1800
AMO coordination;80/heure;96/heure
Conseil photovoltaïque;500;600
DPE;150;180
